RESPONDENTID,Main_P6a_Thich_Total_OE_1,Main_P6a_Thich_Total_OE_2,Main_P6a_Thich_Total_OE_3,Main_P6a_Thich_Total_OE_4,Main_P6a_Thich_Total_OE_5,Main_P6a_Thich_Total_OE_6,Main_P6a_Thich_Total_OE_7,Main_P6a_Thich_Y1_OE_1,Main_P6a_Thich_Y1_OE_2,Main_P6a_Thich_Y1_OE_3,Main_P6a_Thich_Y1_OE_4,Main_P6a_Thich_Y1_OE_5,Main_P6a_Thich_Y1_OE_6,Main_P6a_Thich_Y1_OE_7,Main_P6a_Thich_Y2_OE_1,Main_P6a_Thich_Y2_OE_2,Main_P6a_Thich_Y2_OE_3,Main_P6a_Thich_Y2_OE_4,Main_P6a_Thich_Y2_OE_5,Main_P6a_Thich_Y2_OE_6,Main_P6a_Thich_Y2_OE_7,Main_P6b_Khong_Thich_Total_OE_1,Main_P6b_Khong_Thich_Total_OE_2,Main_P6b_Khong_Thich_Total_OE_3,Main_P6b_Khong_Thich_Y1_OE_1,Main_P6b_Khong_Thich_Y1_OE_2,Main_P6b_Khong_Thich_Y1_OE_3,Main_P6b_Khong_Thich_Y2_OE_1,Main_P6b_Khong_Thich_Y2_OE_2,Main_P6b_Khong_Thich_Y2_OE_3,Main_P10a_Thich_Nuoc_dung_OE_1,Main_P10a_Thich_Nuoc_dung_OE_2,Main_P10a_Thich_Nuoc_dung_OE_3,Main_P10a_Thich_Nuoc_dung_OE_4,Main_P10a_Thich_Nuoc_dung_OE_5,Main_P10a_Thich_Nuoc_dung_OE_6,Main_P10a_Thich_Nuoc_dung_OE_7,Main_P10b_Khong_Thich_Nuoc_dung_OE_1,Main_P10b_Khong_Thich_Nuoc_dung_OE_2,Main_P10b_Khong_Thich_Nuoc_dung_OE_3,Main_P10b_Khong_Thich_Nuoc_dung_OE_4,Main_P100a_Total_OE_1,Main_P100a_Total_OE_2,Main_P100a_Total_OE_3,Main_P100a_Total_OE_4,Main_P100a_Total_OE_5,Main_P100a_Total_OE_6,Main_P100a_Total_OE_7,Main_P100a_Y1_OE_1,Main_P100a_Y1_OE_2,Main_P100a_Y1_OE_3,Main_P100a_Y1_OE_4,Main_P100a_Y1_OE_5,Main_P100a_Y1_OE_6,Main_P100a_Y1_OE_7,Main_P100a_Y2_OE_1,Main_P100a_Y2_OE_2,Main_P100a_Y2_OE_3,Main_P100a_Y2_OE_4,Main_P100a_Y2_OE_5,Main_P100a_Y2_OE_6,Main_P100a_Y2_OE_7
2047_732,201,401,102,,,,,201,,,,,,,401,102,,,,,,99999,,,99999,,,99999,,,302,304,,,,,,303,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2047_927,201,301,401,102,,,,201,,,,,,,301,401,102,,,,,99999,,,99999,,,99999,,,302,303,102,,,,,99999,,,,701,,,,,,,701,,,,,,,99999,,,,,,
2048_732,202,301,401,105,,,,202,,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,302,304,209,305,,,,99999,,,,705,604,608,,,,,705,,,,,,,604,608,,,,,
2048_927,201,301,401,105,,,,201,,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,302,201,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2049_732,301,201,401,105,,,,301,,,,,,,201,401,105,,,,,99999,,,99999,,,99999,,,302,303,305,,,,,99999,,,,711,401,,,,,,711,,,,,,,401,,,,,,
2049_927,101,,,,,,,101,,,,,,,99999,,,,,,,401,201,,401,,,201,,,102,,,,,,,302,303,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2050_732,201,103,301,401,,,,201,103,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,303,305,304,206,,,99999,,,,201,504,706,704,,,,201,,,,,,,504,706,704,,,,
2050_927,105,202,301,401,,,,105,202,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,303,,,,,,,301,306,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2051_732,201,301,,,,,,201,,,,,,,301,,,,,,,102,,,102,,,99999,,,302,,,,,,,310,303,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2051_927,202,301,401,102,,,,202,,,,,,,301,401,102,,,,,99999,,,99999,,,99999,,,302,205,303,305,,,,99999,,,,701,605,,,,,,701,,,,,,,605,,,,,,
2052_732,202,301,401,104,,,,202,,,,,,,301,401,104,,,,,99999,,,99999,,,99999,,,302,303,202,206,204,,,901,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2052_927,202,301,401,105,,,,202,,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,303,301,201,,,,,203,,,,502,711,702,705,,,,502,,,,,,,711,702,705,,,,
2053_732,201,901,301,401,,,,201,901,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,303,901,,,,,99999,,,,702,705,201,101,,,,702,705,,,,,,201,101,,,,,
