Q0a_RespondentID,Ma_SP,Main_P6a_Thich_Total_OE_1,Main_P6a_Thich_Total_OE_2,Main_P6a_Thich_Total_OE_3,Main_P6a_Thich_Total_OE_4,Main_P6a_Thich_Total_OE_5,Main_P6a_Thich_Total_OE_6,Main_P6a_Thich_Total_OE_7,Main_P6a_Thich_Y1_OE_1,Main_P6a_Thich_Y1_OE_2,Main_P6a_Thich_Y1_OE_3,Main_P6a_Thich_Y1_OE_4,Main_P6a_Thich_Y1_OE_5,Main_P6a_Thich_Y1_OE_6,Main_P6a_Thich_Y1_OE_7,Main_P6a_Thich_Y2_OE_1,Main_P6a_Thich_Y2_OE_2,Main_P6a_Thich_Y2_OE_3,Main_P6a_Thich_Y2_OE_4,Main_P6a_Thich_Y2_OE_5,Main_P6a_Thich_Y2_OE_6,Main_P6a_Thich_Y2_OE_7,Main_P6b_Khong_Thich_Total_OE_1,Main_P6b_Khong_Thich_Total_OE_2,Main_P6b_Khong_Thich_Total_OE_3,Main_P6b_Khong_Thich_Y1_OE_1,Main_P6b_Khong_Thich_Y1_OE_2,Main_P6b_Khong_Thich_Y1_OE_3,Main_P6b_Khong_Thich_Y2_OE_1,Main_P6b_Khong_Thich_Y2_OE_2,Main_P6b_Khong_Thich_Y2_OE_3,Main_P10a_Thich_Nuoc_dung_OE_1,Main_P10a_Thich_Nuoc_dung_OE_2,Main_P10a_Thich_Nuoc_dung_OE_3,Main_P10a_Thich_Nuoc_dung_OE_4,Main_P10a_Thich_Nuoc_dung_OE_5,Main_P10a_Thich_Nuoc_dung_OE_6,Main_P10a_Thich_Nuoc_dung_OE_7,Main_P10b_Khong_Thich_Nuoc_dung_OE_1,Main_P10b_Khong_Thich_Nuoc_dung_OE_2,Main_P10b_Khong_Thich_Nuoc_dung_OE_3,Main_P10b_Khong_Thich_Nuoc_dung_OE_4,Main_P100a_Total_OE_1,Main_P100a_Total_OE_2,Main_P100a_Total_OE_3,Main_P100a_Total_OE_4,Main_P100a_Total_OE_5,Main_P100a_Total_OE_6,Main_P100a_Total_OE_7,Main_P100a_Y1_OE_1,Main_P100a_Y1_OE_2,Main_P100a_Y1_OE_3,Main_P100a_Y1_OE_4,Main_P100a_Y1_OE_5,Main_P100a_Y1_OE_6,Main_P100a_Y1_OE_7,Main_P100a_Y2_OE_1,Main_P100a_Y2_OE_2,Main_P100a_Y2_OE_3,Main_P100a_Y2_OE_4,Main_P100a_Y2_OE_5,Main_P100a_Y2_OE_6,Main_P100a_Y2_OE_7
2065,2,103,201,401,,,,,103,,,,,,,201,401,,,,,,301,,,301,,,99999,,,302,303,205,102,,,,99999,,,,605,102,103,712,,,,605,,,,,,,102,103,712,,,,
2066,1,201,103,301,,,,,201,103,,,,,,103,301,,,,,,99999,,,99999,,,99999,,,302,304,206,202,204,,,901,,,,705,701,709,201,,,,705,701,709,,,,,201,,,,,,
2066,2,103,301,401,,,,,103,,,,,,,301,401,,,,,,202,,,202,,,99999,,,302,304,102,208,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2067,1,201,102,301,401,,,,201,,,,,,,102,301,401,,,,,99999,,,99999,,,99999,,,302,303,304,204,,,,99999,,,,722,604,,,,,,722,,,,,,,604,,,,,,
2067,2,201,401,301,102,,,,201,401,,,,,,301,102,,,,,,99999,,,99999,,,99999,,,302,304,305,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2068,1,401,102,301,201,,,,401,,,,,,,102,301,201,,,,,99999,,,99999,,,99999,,,302,102,206,303,,,,99999,,,,705,702,602,,,,,705,702,,,,,,602,,,,,,
2068,2,301,201,402,,,,,301,,,,,,,201,402,,,,,,99999,,,99999,,,99999,,,201,906,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2069,1,201,401,902,101,301,,,201,401,902,,,,,101,301,,,,,,99999,,,99999,,,99999,,,302,303,206,,,,,99999,,,,602,101,702,,,,,602,,,,,,,101,702,,,,,
2069,2,907,401,201,105,301,,,907,401,201,,,,,105,301,,,,,,99999,,,99999,,,99999,,,307,309,302,,,,,901,102,304,,,,,,,,,,,,,,,,,,,,,,
2070,1,201,901,301,401,103,,,201,901,,,,,,301,401,103,,,,,99999,,,99999,,,99999,,,302,303,102,,,,,99999,,,,201,401,904,501,705,,,201,401,,,,,,904,501,705,,,,
2070,2,201,302,401,,,,,201,,,,,,,302,401,,,,,,101,,,101,,,99999,,,305,303,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2071,1,202,301,,,,,,202,,,,,,,301,,,,,,,99999,,,99999,,,99999,,,303,,,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,
2071,2,202,402,301,103,,,,202,402,,,,,,301,103,,,,,,99999,,,99999,,,99999,,,302,303,309,,,,,99999,,,,707,712,,,,,,707,712,,,,,,99999,,,,,,
2072,1,301,103,201,401,302,,,301,,,,,,,103,201,401,302,,,,99999,,,99999,,,99999,,,302,303,209,204,206,,,99999,,,,705,702,201,608,,,,705,702,,,,,,201,608,,,,,
2072,2,301,201,401,,,,,301,,,,,,,201,401,,,,,,99999,,,99999,,,99999,,,305,303,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2073,1,202,105,301,401,,,,202,,,,,,,105,301,401,,,,,99999,,,99999,,,99999,,,302,304,303,305,202,206,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2073,2,202,103,907,301,401,,,202,,,,,,,103,907,301,401,,,,99999,,,99999,,,99999,,,302,304,303,305,205,,,99999,,,,202,301,401,906,605,702,705,202,301,401,,,,,906,605,702,705,,,
2074,1,201,301,105,401,,,,201,301,,,,,,105,401,,,,,,99999,,,99999,,,99999,,,302,303,304,305,306,,,99999,,,,705,301,602,603,702,,,705,,,,,,,301,602,603,702,,,
2074,2,202,103,301,401,,,,202,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,304,205,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2075,1,201,301,902,401,103,,,201,301,902,,,,,401,103,,,,,,99999,,,99999,,,99999,,,302,350,,,,,,908,910,,,702,906,,,,,,702,,,,,,,906,,,,,,
2075,2,201,402,301,103,901,,,201,402,301,103,,,,901,,,,,,,906,,,906,,,99999,,,102,205,201,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,
2076,1,301,103,201,401,,,,301,,,,,,,103,201,401,,,,,99999,,,99999,,,99999,,,302,303,310,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2076,2,201,103,301,401,,,,201,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,102,205,305,304,,,,99999,,,,605,201,,,,,,605,,,,,,,201,,,,,,
2077,1,201,103,301,401,,,,201,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,302,303,202,209,,,,901,,,,,,,,,,,,,,,,,,,,,,,,
2077,2,202,103,301,401,,,,202,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,201,205,304,303,,,,99999,,,,605,702,,,,,,605,,,,,,,702,,,,,,
2078,1,201,102,301,401,,,,201,,,,,,,102,301,401,,,,,99999,,,99999,,,99999,,,302,303,207,,,,,99999,,,,705,401,,,,,,705,,,,,,,401,,,,,,
2078,2,201,103,301,401,,,,201,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,305,304,205,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2079,1,201,102,301,,,,,201,,,,,,,102,301,,,,,,99999,,,99999,,,99999,,,305,303,,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,
2079,2,201,907,102,301,401,402,,201,907,,,,,,102,301,401,402,,,,99999,,,99999,,,99999,,,302,303,305,205,309,,,99999,,,,201,705,,,,,,201,,,,,,,705,,,,,,
2080,1,301,105,201,401,,,,301,,,,,,,105,201,401,,,,,99999,,,99999,,,99999,,,302,303,209,204,206,305,,99999,,,,701,608,602,604,,,,701,,,,,,,608,602,604,,,,
2080,2,201,105,301,401,,,,201,,,,,,,105,301,401,,,,,99999,,,99999,,,99999,,,305,,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,,
2081,1,202,105,301,401,,,,202,,,,,,,105,301,401,,,,,99999,,,99999,,,99999,,,302,303,305,209,202,206,207,99999,,,,302,602,603,702,,,,302,,,,,,,602,603,702,,,,
2081,2,201,105,401,,,,,201,,,,,,,105,401,,,,,,302,,,302,,,99999,,,302,205,305,,,,,304,,,,,,,,,,,,,,,,,,,,,,,,
2082,1,201,103,301,401,,,,201,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,302,304,202,206,305,,,99999,,,,705,201,101,603,,,,705,,,,,,,201,101,603,,,,
2082,2,201,301,102,401,,,,201,301,,,,,,102,401,,,,,,99999,,,99999,,,99999,,,305,307,205,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2083,1,301,402,102,,,,,301,402,,,,,,102,,,,,,,202,,,202,,,99999,,,102,303,204,,,,,99999,,,,705,102,,,,,,705,,,,,,,102,,,,,,
2083,2,201,301,402,,,,,201,301,402,,,,,99999,,,,,,,101,,,101,,,99999,,,102,205,303,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,
2084,1,201,301,401,,,,,201,,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,207,303,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2084,2,201,102,301,401,,,,201,,,,,,,102,301,401,,,,,99999,,,99999,,,99999,,,302,304,303,907,,,,99999,,,,201,901,709,,,,,201,901,,,,,,709,,,,,,
2085,1,201,102,301,401,,,,201,,,,,,,102,301,401,,,,,99999,,,99999,,,99999,,,302,204,202,206,,,,901,,,,,,,,,,,,,,,,,,,,,,,,
2085,2,202,103,907,301,401,,,202,103,,,,,,907,301,401,,,,,99999,,,99999,,,99999,,,302,303,205,305,,,,99999,,,,202,906,605,702,709,,,202,,,,,,,906,605,702,709,,,
2086,1,301,103,201,401,,,,301,,,,,,,103,201,401,,,,,99999,,,99999,,,99999,,,305,303,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,
2086,2,201,301,102,401,,,,201,301,,,,,,102,401,,,,,,99999,,,99999,,,99999,,,305,205,,,,,,99999,,,,705,201,709,,,,,705,,,,,,,201,709,,,,,
2087,1,201,301,401,,,,,201,,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,206,209,305,303,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2087,2,201,102,301,401,,,,201,,,,,,,102,301,401,,,,,99999,,,99999,,,99999,,,303,304,205,203,,,,99999,,,,201,102,709,,,,,201,,,,,,,102,709,,,,,
2088,1,201,102,301,401,,,,201,102,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,303,202,206,305,102,,99999,,,,603,602,702,705,,,,603,602,,,,,,702,705,,,,,
2088,2,201,102,301,401,,,,201,,,,,,,102,301,401,,,,,99999,,,99999,,,99999,,,302,305,205,901,,,,907,,,,,,,,,,,,,,,,,,,,,,,,
2089,1,201,901,105,301,401,,,201,,,,,,,901,105,301,401,,,,99999,,,99999,,,99999,,,305,202,206,209,303,,,99999,,,,301,606,705,,,,,301,,,,,,,606,705,,,,,
2089,2,202,103,301,401,,,,202,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,305,205,304,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2090,1,201,103,301,401,,,,201,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,302,303,305,,,,,99999,,,,201,705,,,,,,201,,,,,,,705,,,,,,
2090,2,201,902,102,301,401,,,201,902,,,,,,102,301,401,,,,,99999,,,99999,,,99999,,,305,201,304,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
